<3,-0.158523717,0
xd,-0.155797097,0
:d,-0.154315374,0
school,-0.138203468,0
homework,-0.13813006,0
(:,-0.129916938,1.70E-272
school tomorrow,-0.122250411,2.83E-241
haha,-0.115589126,6.83E-216
english,-0.113385617,1.44E-208
d:,-0.11077891,1.26E-198
essay,-0.110165865,1.24E-196
like this status,-0.107309532,1.95E-186
:],-0.103250666,2.48E-171
no school,-0.103146502,1.71E-171
math,-0.103119478,7.33E-172
prom,-0.10183658,4.16E-167
: o,-0.10063192,2.28E-163
:/,-0.099635638,2.80E-160
:p,-0.098926756,1.44E-157
this status,-0.097506732,2.21E-153
idk,-0.094789196,1.04E-144
senior,-0.092392919,2.37E-137
o.o,-0.091532165,8.72E-135
:'(,-0.091021789,8.74E-132
homecoming,-0.089321054,6.80E-128
pokemon,-0.086354916,5.97E-119
 =],-0.085636654,2.60E-117
like my status,-0.085593375,1.77E-117
-_-,-0.085440444,4.40E-117
go to school,-0.085074033,1.18E-115
bored,-0.084846583,2.02E-115
<,-0.08437759,1.02E-113
< /,-0.084374482,4.36E-113
< / 3,-0.084056199,3.15E-112
ap,-0.083763573,2.07E-112
-.-,-0.083651008,4.11E-112
/ 3,-0.082401557,8.15E-108
:d <3,-0.082249016,7.50E-107
;d,-0.081501093,9.04E-106
: l,-0.080711567,4.12E-104
camp,-0.080222779,8.07E-103
>.<,-0.079916293,5.86E-102
like about you,-0.079799914,9.75E-102
>:(,-0.079156071,5.52E-100
to school tomorrow,-0.079113558,1.74E-99
chem,-0.078991089,1.15E-99
college,-0.078756785,4.98E-99
im,-0.078700098,6.54E-99
summer,-0.078449701,1.81E-97
my room,-0.078425806,7.38E-98
this status and,-0.078382818,4.30E-98
chemistry,-0.078201989,1.25E-97
i like about,-0.077906882,7.88E-97
hw,-0.077827393,1.24E-96
status and,-0.077413598,2.78E-95
 =D,-0.076993049,1.51E-94
: 3,-0.076972402,2.05E-94
status and i'll,-0.076919321,2.41E-94
song,-0.076731113,7.03E-94
spring break,-0.076493456,5.30E-93
soo,-0.0760734,2.05E-90
justin,-0.075798523,1.49E-91
],-0.075614168,4.32E-91
text me,-0.075594197,5.24E-91
epic,-0.075578352,3.23E-90
ipod,-0.074744373,5.96E-89
i'll tell you,-0.074538129,2.05E-88
like this,-0.074537201,2.16E-88
physics,-0.074334323,1.39E-87
at school,-0.074294322,2.35E-87
i'll tell,-0.074269658,9.42E-88
bieber,-0.073979288,4.40E-87
maths,-0.073701881,2.22E-86
class,-0.073336371,1.87E-85
biology,-0.072770749,4.25E-84
formspring,-0.072754673,3.91E-84
exams,-0.072576302,1.04E-83
:),-0.072330233,1.22E-80
and i'll tell,-0.07210126,1.48E-82
seniors,-0.071749071,9.65E-82
xp,-0.071464713,4.41E-81
today was,-0.071440089,1.12E-80
status and see,-0.070665478,3.55E-79
write,-0.070461509,1.06E-78
justin bieber,-0.070460171,9.63E-79
<3 <3,-0.070055041,1.09E-74
freshman,-0.069256061,5.70E-76
 =/,-0.069109521,1.28E-75
:|,-0.069003994,2.44E-75
bio,-0.067779442,1.23E-72
ily,-0.067336537,5.86E-71
& &,-0.06732958,5.42E-71
test,-0.067272865,1.52E-71
funn,-0.06723997,5.23E-71
okay,-0.067001769,6.38E-70
put this as,-0.066769785,3.08E-70
-8,-0.06659632,4.66E-70
:[,-0.06658131,7.55E-70
after school,-0.06643336,1.24E-69
hahah,-0.066202266,5.14E-69
at work,0.121571087,1.66E-239
back to work,0.11449853,8.88E-212
beer,0.097595206,5.71E-153
to work,0.096177977,1.19E-148
office,0.090945478,4.88E-133
days off,0.090632376,1.13E-131
new job,0.086495576,6.41E-120
wine,0.086379829,3.86E-119
enjoying,0.08585785,1.46E-117
day off,0.084542508,6.06E-114
drinks,0.083925725,7.85E-113
wedding,0.082791597,3.22E-108
new place,0.079214785,3.60E-100
blessed,0.075898521,7.18E-90
apartment,0.074269856,1.15E-87
a drink,0.073542427,5.19E-86
laundry,0.072431768,6.94E-82
much needed,0.072399557,1.83E-82
to work tomorrow,0.070901117,2.29E-79
hubby,0.0708181,9.28E-77
at work ...,0.070089995,9.31E-78
a beer,0.070060765,1.16E-77
company,0.06975315,4.11E-77
work,0.068970592,2.59E-75
thankful,0.068685212,7.39E-73
excited about,0.068655924,1.91E-73
my job,0.06826484,1.32E-73
after work,0.067996121,4.57E-73
day at work,0.06733802,1.46E-71
go to work,0.066153895,7.60E-69
vacation,0.066079291,2.10E-68
care of,0.065876522,9.66E-68
apt,0.06577778,3.45E-68
let me know,0.06549182,1.55E-67
my hubby,0.065268828,1.05E-65
from work,0.065025746,1.68E-66
had a blast,0.064448886,8.14E-65
off work,0.064047546,1.94E-64
errands,0.06390682,7.27E-64
my babies,0.063783602,2.80E-63
my day off,0.063622345,1.81E-63
celebrate,0.063569519,2.72E-63
wishes,0.063493811,1.45E-62
grocery,0.063212259,3.00E-62
bills,0.063089783,1.41E-62
work today,0.063046757,2.81E-62
work tomorrow,0.062772298,1.27E-61
day to all,0.062634364,3.31E-61
everyone for,0.062218852,2.90E-60
relaxing,0.061887505,1.24E-59
drinking,0.061752658,7.43E-60
the bar,0.061359702,4.87E-59
shift,0.061202554,9.38E-59
@,0.061141189,1.49E-58
@ work,0.061139097,1.54E-58
beers,0.060984135,3.90E-58
the office,0.060858842,4.60E-58
celebrating,0.060270745,1.29E-56
at work .,0.059980208,2.72E-56
:-(,0.059761761,9.37E-56
birthday wishes !,0.059713793,4.90E-55
everyone for the,0.059581265,2.53E-55
husband,0.059087183,7.95E-53
a vacation,0.059015575,3.05E-54
birthday wishes,0.0589217,2.00E-53
to celebrate,0.058916126,6.37E-54
fingers crossed,0.058746667,1.74E-53
