Top 100: Words used by women,,,
rank,term,r,p
1,<3,0.317406127,0
2,excited,0.276553274,0
3,shopping,0.260627886,0
4,so excited,0.25429727,0
5,love you,0.240905356,0
6,sooo,0.223889424,0
7,her,0.221416746,0
8,my hair,0.214035235,0
9,yay !,0.213346344,0
10,mommy,0.210618796,0
11,<3 <3,0.210389117,0
12,i love you,0.209670929,0
13,cute,0.20815692,0
14,:(,0.206378139,0
15,hair,0.206101202,0
16,soooo,0.204272207,0
17,boyfriend,0.203916546,0
18,i miss,0.197771325,0
19,wonderful,0.197324266,0
20,i love my,0.195679426,0
21,miss,0.195654701,0
22,so happy,0.195496844,0
23,yummy,0.194567596,0
24,i love,0.194105079,0
25,dress,0.193348901,0
26,:),0.192171938,0
27,with her,0.191865011,0
28,yay,0.190934324,0
29,herself,0.189824609,0
30,like it on,0.189527311,0
31,<3 <3 <3,0.188308047,0
32,mom,0.184758428,0
33,can't wait,0.182755416,0
34,baby,0.181657079,0
35,so much,0.180476143,0
36,excited for,0.179137939,0
37,loved,0.178553773,0
38,birthday,0.178522414,0
39,she,0.177304208,0
40,hubby,0.176808558,0
41,love him,0.176449797,0
42,omg,0.174588004,0
43,happy birthday,0.173991786,0
44,my baby,0.173961991,0
45,she is,0.173327518,0
46,chocolate,0.173242688,0
47,yay ! !,0.171996081,0
48,so excited !,0.171001405,0
49,a wonderful,0.170758428,0
50,i like it,0.170441087,0
51,sister,0.170280691,0
52,wait to,0.170233228,0
53,loves her,0.170099391,0
54,much fun,0.168083479,0
55,wishes she,0.166786612,0
56,miss my,0.166750165,0
57,husband,0.166301269,0
58,miss you,0.166287535,0
59,with my,0.164840153,0
60,loves,0.163706566,0
61,my family,0.16299673,0
62,girls,0.162937399,0
63,best friend,0.162674295,0
64,family,0.162359134,0
65,she has,0.162227124,0
66,am so,0.161908562,0
67,so cute,0.160882824,0
68,lovely,0.160033163,0
69,can't wait to,0.1600042,0
70,my husband,0.159773152,0
71,proud of,0.15868073,0
72,i'm so,0.158532528,0
73,sooooo,0.158502377,0
74,miss him,0.158481191,0
75,i am so,0.157757265,0
76,cleaning,0.157392082,0
77,soo,0.157176144,0
78,i love him,0.157129855,0
79,ugh,0.155347351,0
80,so much fun,0.15516958,0
81,her new,0.154741315,0
82,daddy,0.154533059,0
83,so proud,0.154506542,0
84,wait to see,0.154113812,0
85,with the girls,0.152855917,0
86,my boyfriend,0.152803079,0
87,beautiful,0.15260413,0
88,nails,0.15214746,0
89,! <3 <3,0.152052351,0
90,my mom,0.150910402,0
91,shopping with,0.150159851,0
92,bestie,0.149768806,0
93,my little,0.148646513,0
94,loving,0.148533208,0
95,cookies,0.148375967,0
96,cry,0.147887757,0
97,so glad,0.147214247,0
98,her first,0.146812929,0
99,i miss my,0.146323088,0
100,;),0.145751789,0
1,wishes he,-0.174091159,0
2,fuck,-0.161386194,0
3,fucking,-0.136079065,1.73E-296
4,xbox,-0.134698974,4.28E-296
5,himself,-0.125013238,3.35E-255
6,ps3,-0.124665629,7.36E-254
7,360,-0.122921247,1.06E-246
8,vs,-0.119876315,4.99E-234
9,black ops,-0.116923325,1.56E-221
10,shit,-0.116448205,6.99E-218
11,league,-0.114643833,1.67E-214
12,my wife,-0.113767913,3.17E-210
13,. youtube,-0.113179382,7.43E-208
14,world cup,-0.112986881,3.31E-208
15,ops,-0.111839112,9.18E-203
16,war,-0.109229631,7.48E-194
17,my girlfriend,-0.107666847,1.75E-188
18,metal,-0.106779876,3.09E-185
19,win,-0.10634434,6.45E-184
20,www,-0.106123879,3.27E-183
21,his life,-0.106102972,4.16E-183
22,fucked,-0.105850826,3.27E-180
23,cod,-0.10505106,1.96E-178
24,girlfriend,-0.103209581,9.88E-173
25,his,-0.101264984,3.66E-165
26,xbox live,-0.101046595,2.28E-165
27,youtube,-0.099956857,3.24E-160
28,modern warfare,-0.099055059,5.62E-159
29,fuckin,-0.098657239,2.81E-156
30,shave,-0.09817067,2.43E-156
31,xbox 360,-0.098030673,1.23E-155
32,ftw,-0.097379237,1.87E-151
33,warfare,-0.096605951,4.10E-151
34,my xbox,-0.096002209,4.87E-149
35,fuck you,-0.095393139,6.43E-146
36,loves his,-0.095326232,2.83E-147
37,nfl,-0.095294406,5.94E-147
38,beard,-0.095206823,8.59E-147
39,http :/ /,-0.094833997,1.08E-145
40,fans,-0.093335102,1.24E-140
41,his mind,-0.093270448,7.20E-141
42,government,-0.092698327,4.57E-138
43,on his,-0.09242125,2.00E-137
44,arsenal,-0.091999181,5.72E-137
45,thinks he,-0.090511815,1.72E-132
46,fifa,-0.090300199,1.08E-131
47,modern,-0.089826229,2.00E-130
48,lebron,-0.088683676,4.51E-127
49,hit me up,-0.088460347,1.02E-125
50,championship,-0.088221603,1.36E-125
51,his new,-0.087649618,7.58E-124
52,nba,-0.087171539,1.12E-122
53,of war,-0.086961518,5.86E-122
54,dick,-0.086868052,4.03E-121
55,holy shit,-0.086315487,8.51E-120
56,call of duty,-0.085745371,3.22E-118
57,halo,-0.084366725,2.80E-114
58,album,-0.083615144,4.02E-112
59,president,-0.083538133,1.16E-111
60,teams,-0.082426621,2.95E-109
61,the world cup,-0.082189085,9.74E-109
62,team,-0.08180491,1.06E-107
63,of his life,-0.081688021,2.18E-107
64,engineering,-0.081431392,1.21E-106
65,what the fuck,-0.081108231,2.16E-105
66,wins,-0.080675861,1.16E-104
67,creed,-0.080455592,6.07E-104
68,epic,-0.080452079,1.83E-100
69,match,-0.080179881,2.70E-103
70,bastard,-0.080037317,6.63E-103
71,victory,-0.07995093,1.16E-102
72,hell,-0.079898852,5.92E-102
73,gun,-0.079876824,1.94E-102
74,champions,-0.079809913,2.23E-102
75,fuck yeah,-0.07978451,4.91E-102
76,1-0,-0.079623175,7.36E-102
77,windows 7,-0.079410926,2.49E-101
78,with his,-0.079262364,1.65E-100
79,of duty,-0.079261055,7.57E-101
80,fucked up,-0.079178377,6.19E-100
81,political,-0.078303549,8.68E-98
82,bass,-0.078211575,6.57E-98
83,of death,-0.07805371,1.05E-97
84,sword,-0.077654718,1.05E-96
85,playoffs,-0.077344661,6.21E-96
86,feature,-0.077154869,2.34E-95
87,& feature,-0.076672124,4.79E-94
88,legend,-0.076583329,7.23E-94
89,beer,-0.076161477,8.73E-92
90,religion,-0.075481233,2.88E-91
91,2-0,-0.074824342,1.25E-89
92,god damn,-0.074768846,4.48E-89
93,pc,-0.07465348,3.58E-89
94,damn,-0.074094941,3.22E-87
95,chuck norris,-0.073868732,4.28E-87
96,norris,-0.073446613,4.46E-86
97,politics,-0.072946947,6.53E-85
98,as fuck,-0.072801827,2.62E-84
99,system,-0.072628426,7.69E-84
100,germany,-0.072539325,4.51E-84
